Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
obj82__255.png;128;128;0;0;128;128;81
obj15__215.png;128;128;0;0;128;128;14
obj78__295.png;128;128;0;0;128;128;77
obj57__65.png;128;128;0;0;128;128;56
obj61__40.png;128;128;0;0;128;128;60
obj65__70.png;128;128;0;0;128;128;64
obj54__105.png;128;128;0;0;128;128;53
obj6__180.png;128;128;0;0;128;128;5
obj22__250.png;128;128;0;0;128;128;21
obj23__145.png;128;128;0;0;128;128;22
obj34__35.png;128;128;0;0;128;128;33
obj35__150.png;128;128;0;0;128;128;34
obj90__280.png;128;128;0;0;128;128;89
obj25__110.png;128;128;0;0;128;128;24
obj83__215.png;128;128;0;0;128;128;82
obj29__85.png;128;128;0;0;128;128;28
obj98__20.png;128;128;0;0;128;128;97
obj99__300.png;128;128;0;0;128;128;98
obj40__130.png;128;128;0;0;128;128;39
obj48__95.png;128;128;0;0;128;128;47
obj92__55.png;128;128;0;0;128;128;91
obj3__285.png;128;128;0;0;128;128;2
obj55__15.png;128;128;0;0;128;128;54
obj95__300.png;128;128;0;0;128;128;94
obj19__260.png;128;128;0;0;128;128;18
obj36__215.png;128;128;0;0;128;128;35
obj3__30.png;128;128;0;0;128;128;2
obj19__0.png;128;128;0;0;128;128;18
obj67__335.png;128;128;0;0;128;128;66
obj32__70.png;128;128;0;0;128;128;31
obj9__210.png;128;128;0;0;128;128;8
obj48__145.png;128;128;0;0;128;128;47
obj69__210.png;128;128;0;0;128;128;68
obj35__225.png;128;128;0;0;128;128;34
obj29__325.png;128;128;0;0;128;128;28
obj53__120.png;128;128;0;0;128;128;52
obj88__345.png;128;128;0;0;128;128;87
obj35__40.png;128;128;0;0;128;128;34
obj68__205.png;128;128;0;0;128;128;67
obj84__85.png;128;128;0;0;128;128;83
obj98__5.png;128;128;0;0;128;128;97
obj32__340.png;128;128;0;0;128;128;31
obj23__230.png;128;128;0;0;128;128;22
obj73__70.png;128;128;0;0;128;128;72
obj27__50.png;128;128;0;0;128;128;26
obj73__60.png;128;128;0;0;128;128;72
obj16__60.png;128;128;0;0;128;128;15
obj72__105.png;128;128;0;0;128;128;71
obj84__225.png;128;128;0;0;128;128;83
obj69__20.png;128;128;0;0;128;128;68
obj5__60.png;128;128;0;0;128;128;4
obj32__300.png;128;128;0;0;128;128;31
obj72__30.png;128;128;0;0;128;128;71
obj9__190.png;128;128;0;0;128;128;8
obj26__185.png;128;128;0;0;128;128;25
obj41__270.png;128;128;0;0;128;128;40
obj88__75.png;128;128;0;0;128;128;87
obj6__250.png;128;128;0;0;128;128;5
obj16__310.png;128;128;0;0;128;128;15
obj10__125.png;128;128;0;0;128;128;9
obj96__345.png;128;128;0;0;128;128;95
obj97__315.png;128;128;0;0;128;128;96
obj100__30.png;128;128;0;0;128;128;99
obj39__200.png;128;128;0;0;128;128;38
obj86__255.png;128;128;0;0;128;128;85
obj74__130.png;128;128;0;0;128;128;73
obj38__255.png;128;128;0;0;128;128;37
obj40__30.png;128;128;0;0;128;128;39
obj80__220.png;128;128;0;0;128;128;79
obj63__40.png;128;128;0;0;128;128;62
obj13__100.png;128;128;0;0;128;128;12
obj35__255.png;128;128;0;0;128;128;34
obj82__95.png;128;128;0;0;128;128;81
obj72__305.png;128;128;0;0;128;128;71
obj66__150.png;128;128;0;0;128;128;65
obj22__315.png;128;128;0;0;128;128;21
obj18__65.png;128;128;0;0;128;128;17
obj15__290.png;128;128;0;0;128;128;14
obj49__40.png;128;128;0;0;128;128;48
obj57__25.png;128;128;0;0;128;128;56
obj41__240.png;128;128;0;0;128;128;40
obj26__335.png;128;128;0;0;128;128;25
obj88__355.png;128;128;0;0;128;128;87
obj88__25.png;128;128;0;0;128;128;87
obj89__150.png;128;128;0;0;128;128;88
obj81__35.png;128;128;0;0;128;128;80
obj75__10.png;128;128;0;0;128;128;74
obj43__305.png;128;128;0;0;128;128;42
obj54__125.png;128;128;0;0;128;128;53
obj63__265.png;128;128;0;0;128;128;62
obj39__235.png;128;128;0;0;128;128;38
obj69__320.png;128;128;0;0;128;128;68
obj38__155.png;128;128;0;0;128;128;37
obj53__220.png;128;128;0;0;128;128;52
obj41__310.png;128;128;0;0;128;128;40
obj100__120.png;128;128;0;0;128;128;99
obj67__205.png;128;128;0;0;128;128;66
obj38__165.png;128;128;0;0;128;128;37
obj70__15.png;128;128;0;0;128;128;69
obj47__220.png;128;128;0;0;128;128;46
obj33__295.png;128;128;0;0;128;128;32
obj7__290.png;128;128;0;0;128;128;6
obj35__250.png;128;128;0;0;128;128;34
obj97__295.png;128;128;0;0;128;128;96
obj19__70.png;128;128;0;0;128;128;18
obj100__220.png;128;128;0;0;128;128;99
obj36__40.png;128;128;0;0;128;128;35
obj10__165.png;128;128;0;0;128;128;9
obj88__20.png;128;128;0;0;128;128;87
obj66__65.png;128;128;0;0;128;128;65
obj45__285.png;128;128;0;0;128;128;44
obj42__180.png;128;128;0;0;128;128;41
obj94__260.png;128;128;0;0;128;128;93
obj80__170.png;128;128;0;0;128;128;79
obj85__350.png;128;128;0;0;128;128;84
obj46__100.png;128;128;0;0;128;128;45
obj80__145.png;128;128;0;0;128;128;79
obj71__105.png;128;128;0;0;128;128;70
obj20__125.png;128;128;0;0;128;128;19
obj87__295.png;128;128;0;0;128;128;86
obj30__200.png;128;128;0;0;128;128;29
obj37__215.png;128;128;0;0;128;128;36
obj20__40.png;128;128;0;0;128;128;19
obj57__290.png;128;128;0;0;128;128;56
obj28__230.png;128;128;0;0;128;128;27
obj53__250.png;128;128;0;0;128;128;52
obj23__115.png;128;128;0;0;128;128;22
obj83__305.png;128;128;0;0;128;128;82
obj54__45.png;128;128;0;0;128;128;53
obj93__205.png;128;128;0;0;128;128;92
obj57__170.png;128;128;0;0;128;128;56
obj11__75.png;128;128;0;0;128;128;10
obj34__355.png;128;128;0;0;128;128;33
obj65__340.png;128;128;0;0;128;128;64
obj28__90.png;128;128;0;0;128;128;27
obj70__40.png;128;128;0;0;128;128;69
obj91__170.png;128;128;0;0;128;128;90
obj2__170.png;128;128;0;0;128;128;1
obj31__295.png;128;128;0;0;128;128;30
obj25__325.png;128;128;0;0;128;128;24
